translator,lang,rank,n,acc_translated_lopo,acc_train_english_test_translated
google,es,2,120,0.7083333333333334,0.5666666666666667
google,zh,3,120,0.7333333333333333,0.24166666666666667
google,ru,4,120,0.7583333333333333,0.21666666666666667
google,ja,5,120,0.675,0.24166666666666667
google,tr,6,120,0.75,0.21666666666666667
google,hi,7,120,0.775,0.20833333333333334
llm,es,2,120,0.7333333333333333,0.6
llm,zh,3,120,0.725,0.2
llm,ru,4,120,0.7333333333333333,0.21666666666666667
llm,ja,5,120,0.6333333333333333,0.2833333333333333
llm,tr,6,120,0.7333333333333333,0.225
llm,hi,7,120,0.7083333333333334,0.25833333333333336
