cell_id,lang,rank,prompt_id,model_key,correct
claude|P01|en|1,en,1,P01,claude,1
claude|P01|en|0,en,1,P01,claude,1
claude|P02|en|0,en,1,P02,claude,1
claude|P03|en|0,en,1,P03,claude,1
claude|P02|en|1,en,1,P02,claude,0
claude|P03|en|1,en,1,P03,claude,1
claude|P04|en|0,en,1,P04,claude,1
claude|P04|en|1,en,1,P04,claude,1
claude|P05|en|0,en,1,P05,claude,1
claude|P05|en|1,en,1,P05,claude,0
claude|P06|en|0,en,1,P06,claude,1
claude|P07|en|0,en,1,P07,claude,1
claude|P06|en|1,en,1,P06,claude,1
claude|P07|en|1,en,1,P07,claude,1
claude|P08|en|0,en,1,P08,claude,1
claude|P08|en|1,en,1,P08,claude,0
claude|P12|en|0,en,1,P12,claude,0
claude|P10|en|0,en,1,P10,claude,1
claude|P10|en|1,en,1,P10,claude,1
claude|P09|en|1,en,1,P09,claude,1
claude|P12|en|1,en,1,P12,claude,0
claude|P11|en|0,en,1,P11,claude,1
claude|P09|en|0,en,1,P09,claude,1
claude|P11|en|1,en,1,P11,claude,0
deepseek|P03|en|0,en,1,P03,deepseek,1
deepseek|P03|en|1,en,1,P03,deepseek,1
deepseek|P02|en|0,en,1,P02,deepseek,0
deepseek|P01|en|1,en,1,P01,deepseek,1
deepseek|P02|en|1,en,1,P02,deepseek,0
deepseek|P01|en|0,en,1,P01,deepseek,0
deepseek|P04|en|0,en,1,P04,deepseek,1
deepseek|P05|en|1,en,1,P05,deepseek,1
deepseek|P05|en|0,en,1,P05,deepseek,0
deepseek|P07|en|1,en,1,P07,deepseek,0
deepseek|P09|en|0,en,1,P09,deepseek,1
deepseek|P07|en|0,en,1,P07,deepseek,0
deepseek|P08|en|1,en,1,P08,deepseek,0
deepseek|P06|en|1,en,1,P06,deepseek,1
deepseek|P06|en|0,en,1,P06,deepseek,0
deepseek|P10|en|0,en,1,P10,deepseek,0
deepseek|P04|en|1,en,1,P04,deepseek,0
deepseek|P11|en|0,en,1,P11,deepseek,0
deepseek|P12|en|1,en,1,P12,deepseek,0
deepseek|P08|en|0,en,1,P08,deepseek,0
deepseek|P09|en|1,en,1,P09,deepseek,0
deepseek|P10|en|1,en,1,P10,deepseek,1
deepseek|P12|en|0,en,1,P12,deepseek,0
deepseek|P11|en|1,en,1,P11,deepseek,1
gemini|P01|en|0,en,1,P01,gemini,0
gemini|P01|en|1,en,1,P01,gemini,0
gemini|P02|en|0,en,1,P02,gemini,1
gemini|P02|en|1,en,1,P02,gemini,1
gemini|P03|en|0,en,1,P03,gemini,1
gemini|P03|en|1,en,1,P03,gemini,1
gemini|P05|en|1,en,1,P05,gemini,1
gemini|P05|en|0,en,1,P05,gemini,1
gemini|P04|en|0,en,1,P04,gemini,1
gemini|P04|en|1,en,1,P04,gemini,0
gemini|P06|en|1,en,1,P06,gemini,1
gemini|P06|en|0,en,1,P06,gemini,1
gemini|P07|en|0,en,1,P07,gemini,1
gemini|P07|en|1,en,1,P07,gemini,1
gemini|P09|en|0,en,1,P09,gemini,1
gemini|P08|en|1,en,1,P08,gemini,0
gemini|P10|en|1,en,1,P10,gemini,1
gemini|P09|en|1,en,1,P09,gemini,1
gemini|P10|en|0,en,1,P10,gemini,1
gemini|P11|en|1,en,1,P11,gemini,1
gemini|P08|en|0,en,1,P08,gemini,1
gemini|P11|en|0,en,1,P11,gemini,1
gemini|P12|en|0,en,1,P12,gemini,0
gemini|P12|en|1,en,1,P12,gemini,0
gpt|P03|en|1,en,1,P03,gpt,1
gpt|P03|en|0,en,1,P03,gpt,1
gpt|P01|en|1,en,1,P01,gpt,0
gpt|P01|en|0,en,1,P01,gpt,0
gpt|P02|en|0,en,1,P02,gpt,1
gpt|P02|en|1,en,1,P02,gpt,1
gpt|P04|en|1,en,1,P04,gpt,1
gpt|P04|en|0,en,1,P04,gpt,1
gpt|P07|en|1,en,1,P07,gpt,1
