lang,rank,model_a,model_b,centroid_dist
en,1,claude,deepseek,2.347907252221978
en,1,claude,gemini,3.1885919125155517
en,1,claude,gpt,3.489507612683687
en,1,claude,grok,5.4165875478769
en,1,deepseek,gemini,2.085700126683699
en,1,deepseek,gpt,2.1449792775460996
en,1,deepseek,grok,4.864787161388173
en,1,gemini,gpt,3.144330136348619
en,1,gemini,grok,3.5532720104059288
en,1,gpt,grok,5.686547833705174
es,2,claude,deepseek,2.7251725452885545
es,2,claude,gemini,3.7781711361386074
es,2,claude,gpt,3.3838940517637153
es,2,claude,grok,4.14909015815334
es,2,deepseek,gemini,2.108166167692004
es,2,deepseek,gpt,2.075080276037256
es,2,deepseek,grok,2.8967442380530577
es,2,gemini,gpt,3.6713508393538334
es,2,gemini,grok,2.5472351691674144
es,2,gpt,grok,3.752723136182204
hi,7,claude,deepseek,2.570248329785431
hi,7,claude,gemini,3.7756463553704607
hi,7,claude,gpt,3.5777858605348714
hi,7,claude,grok,3.4628814732094386
hi,7,deepseek,gemini,2.0228017410399395
hi,7,deepseek,gpt,1.4110631911979563
hi,7,deepseek,grok,2.0153085328019418
hi,7,gemini,gpt,2.437049416675215
hi,7,gemini,grok,2.962750760492821
hi,7,gpt,grok,2.69232002312398
ja,5,claude,deepseek,1.671888932771737
ja,5,claude,gemini,1.9563451232120883
ja,5,claude,gpt,3.1804857699780484
ja,5,claude,grok,3.3882285404389467
ja,5,deepseek,gemini,1.808705797826184
ja,5,deepseek,gpt,2.632330235789849
ja,5,deepseek,grok,3.303564754576684
ja,5,gemini,gpt,2.7607227673345505
ja,5,gemini,grok,2.493570660593882
ja,5,gpt,grok,3.8018623759298755
ru,4,claude,deepseek,2.919261952025382
ru,4,claude,gemini,2.6251287529889455
ru,4,claude,gpt,3.6358884135792278
ru,4,claude,grok,3.3296041856840635
ru,4,deepseek,gemini,2.598270795739784
ru,4,deepseek,gpt,2.433905378977091
ru,4,deepseek,grok,2.220260832078203
ru,4,gemini,gpt,3.9535079106173225
ru,4,gemini,grok,2.1806883162994954
ru,4,gpt,grok,3.8332930222305523
tr,6,claude,deepseek,2.416825643284627
tr,6,claude,gemini,2.1940648467852633
tr,6,claude,gpt,3.788265247846757
tr,6,claude,grok,4.315496453385181
tr,6,deepseek,gemini,1.2752990013399834
tr,6,deepseek,gpt,2.1234909094018577
tr,6,deepseek,grok,3.055867087073546
tr,6,gemini,gpt,2.6883231587129144
tr,6,gemini,grok,3.2534459650779093
tr,6,gpt,grok,3.3188299391900933
zh,3,claude,deepseek,1.6738865129627616
zh,3,claude,gemini,2.6252568190790067
zh,3,claude,gpt,2.499089161083593
zh,3,claude,grok,3.8716766852948954
zh,3,deepseek,gemini,2.2492303223724943
zh,3,deepseek,gpt,2.810165328762185
zh,3,deepseek,grok,3.0083319260392427
zh,3,gemini,gpt,3.7466954299364015
zh,3,gemini,grok,3.581700099111788
zh,3,gpt,grok,3.989040513342007
