cell_id,baseline,lang,correct
claude|P01|en|1,char_ngram,en,1
claude|P01|en|0,char_ngram,en,1
claude|P02|en|0,char_ngram,en,0
claude|P03|en|0,char_ngram,en,1
claude|P02|en|1,char_ngram,en,1
claude|P03|en|1,char_ngram,en,1
claude|P04|en|0,char_ngram,en,1
claude|P04|en|1,char_ngram,en,1
claude|P05|en|0,char_ngram,en,1
claude|P05|en|1,char_ngram,en,0
claude|P06|en|0,char_ngram,en,1
claude|P07|en|0,char_ngram,en,1
claude|P06|en|1,char_ngram,en,1
claude|P07|en|1,char_ngram,en,1
claude|P08|en|0,char_ngram,en,1
claude|P08|en|1,char_ngram,en,1
claude|P12|en|0,char_ngram,en,1
claude|P10|en|0,char_ngram,en,1
claude|P10|en|1,char_ngram,en,1
claude|P09|en|1,char_ngram,en,1
claude|P12|en|1,char_ngram,en,1
claude|P11|en|0,char_ngram,en,1
claude|P09|en|0,char_ngram,en,1
claude|P11|en|1,char_ngram,en,0
deepseek|P03|en|0,char_ngram,en,0
deepseek|P03|en|1,char_ngram,en,0
deepseek|P02|en|0,char_ngram,en,0
deepseek|P01|en|1,char_ngram,en,0
deepseek|P02|en|1,char_ngram,en,0
deepseek|P01|en|0,char_ngram,en,1
deepseek|P04|en|0,char_ngram,en,0
deepseek|P05|en|1,char_ngram,en,0
deepseek|P05|en|0,char_ngram,en,0
deepseek|P07|en|1,char_ngram,en,0
deepseek|P09|en|0,char_ngram,en,0
deepseek|P07|en|0,char_ngram,en,0
deepseek|P08|en|1,char_ngram,en,0
deepseek|P06|en|1,char_ngram,en,0
deepseek|P06|en|0,char_ngram,en,0
deepseek|P10|en|0,char_ngram,en,0
deepseek|P04|en|1,char_ngram,en,0
deepseek|P11|en|0,char_ngram,en,0
deepseek|P12|en|1,char_ngram,en,0
deepseek|P08|en|0,char_ngram,en,0
deepseek|P09|en|1,char_ngram,en,0
deepseek|P10|en|1,char_ngram,en,0
deepseek|P12|en|0,char_ngram,en,0
deepseek|P11|en|1,char_ngram,en,0
gemini|P01|en|0,char_ngram,en,1
gemini|P01|en|1,char_ngram,en,1
gemini|P02|en|0,char_ngram,en,1
gemini|P02|en|1,char_ngram,en,1
gemini|P03|en|0,char_ngram,en,0
gemini|P03|en|1,char_ngram,en,1
gemini|P05|en|1,char_ngram,en,1
gemini|P05|en|0,char_ngram,en,1
gemini|P04|en|0,char_ngram,en,1
gemini|P04|en|1,char_ngram,en,1
gemini|P06|en|1,char_ngram,en,1
gemini|P06|en|0,char_ngram,en,1
gemini|P07|en|0,char_ngram,en,1
gemini|P07|en|1,char_ngram,en,0
gemini|P09|en|0,char_ngram,en,1
gemini|P08|en|1,char_ngram,en,1
gemini|P10|en|1,char_ngram,en,1
gemini|P09|en|1,char_ngram,en,1
gemini|P10|en|0,char_ngram,en,1
gemini|P11|en|1,char_ngram,en,1
gemini|P08|en|0,char_ngram,en,1
gemini|P11|en|0,char_ngram,en,1
gemini|P12|en|0,char_ngram,en,1
gemini|P12|en|1,char_ngram,en,1
gpt|P03|en|1,char_ngram,en,1
gpt|P03|en|0,char_ngram,en,1
gpt|P01|en|1,char_ngram,en,1
gpt|P01|en|0,char_ngram,en,1
gpt|P02|en|0,char_ngram,en,1
gpt|P02|en|1,char_ngram,en,1
gpt|P04|en|1,char_ngram,en,1
gpt|P04|en|0,char_ngram,en,1
gpt|P07|en|1,char_ngram,en,1
gpt|P07|en|0,char_ngram,en,1
gpt|P08|en|0,char_ngram,en,1
gpt|P08|en|1,char_ngram,en,1
gpt|P05|en|1,char_ngram,en,1
gpt|P05|en|0,char_ngram,en,1
gpt|P06|en|1,char_ngram,en,1
gpt|P06|en|0,char_ngram,en,1
gpt|P09|en|0,char_ngram,en,1
gpt|P09|en|1,char_ngram,en,1
gpt|P10|en|1,char_ngram,en,1
gpt|P11|en|0,char_ngram,en,1
gpt|P10|en|0,char_ngram,en,1
gpt|P11|en|1,char_ngram,en,1
gpt|P12|en|1,char_ngram,en,1
gpt|P12|en|0,char_ngram,en,1
grok|P01|en|0,char_ngram,en,1
grok|P01|en|1,char_ngram,en,1
grok|P03|en|0,char_ngram,en,1
grok|P03|en|1,char_ngram,en,1
grok|P02|en|0,char_ngram,en,1
grok|P02|en|1,char_ngram,en,1
grok|P04|en|0,char_ngram,en,1
grok|P05|en|0,char_ngram,en,1
grok|P04|en|1,char_ngram,en,1
grok|P05|en|1,char_ngram,en,1
grok|P06|en|0,char_ngram,en,1
grok|P06|en|1,char_ngram,en,1
grok|P07|en|0,char_ngram,en,1
grok|P07|en|1,char_ngram,en,1
grok|P09|en|0,char_ngram,en,1
grok|P08|en|1,char_ngram,en,1
grok|P08|en|0,char_ngram,en,1
grok|P09|en|1,char_ngram,en,1
grok|P10|en|1,char_ngram,en,0
grok|P10|en|0,char_ngram,en,1
grok|P11|en|1,char_ngram,en,1
grok|P12|en|1,char_ngram,en,1
grok|P11|en|0,char_ngram,en,0
grok|P12|en|0,char_ngram,en,1
claude|P02|es|1,char_ngram,es,0
claude|P02|es|0,char_ngram,es,0
claude|P01|es|1,char_ngram,es,0
claude|P03|es|0,char_ngram,es,1
claude|P03|es|1,char_ngram,es,0
claude|P01|es|0,char_ngram,es,0
claude|P04|es|1,char_ngram,es,1
claude|P04|es|0,char_ngram,es,1
claude|P05|es|0,char_ngram,es,1
claude|P06|es|0,char_ngram,es,1
claude|P05|es|1,char_ngram,es,0
claude|P06|es|1,char_ngram,es,1
claude|P07|es|0,char_ngram,es,1
claude|P08|es|0,char_ngram,es,1
claude|P08|es|1,char_ngram,es,1
claude|P07|es|1,char_ngram,es,1
claude|P09|es|0,char_ngram,es,1
claude|P09|es|1,char_ngram,es,1
claude|P10|es|1,char_ngram,es,1
claude|P10|es|0,char_ngram,es,1
claude|P11|es|0,char_ngram,es,1
claude|P11|es|1,char_ngram,es,1
claude|P12|es|0,char_ngram,es,0
claude|P12|es|1,char_ngram,es,0
deepseek|P01|es|1,char_ngram,es,0
deepseek|P01|es|0,char_ngram,es,0
deepseek|P03|es|1,char_ngram,es,0
deepseek|P03|es|0,char_ngram,es,0
deepseek|P02|es|1,char_ngram,es,1
deepseek|P04|es|0,char_ngram,es,0
deepseek|P05|es|1,char_ngram,es,0
deepseek|P07|es|0,char_ngram,es,0
deepseek|P04|es|1,char_ngram,es,0
deepseek|P07|es|1,char_ngram,es,1
deepseek|P05|es|0,char_ngram,es,1
deepseek|P08|es|0,char_ngram,es,1
deepseek|P08|es|1,char_ngram,es,0
deepseek|P06|es|1,char_ngram,es,0
deepseek|P06|es|0,char_ngram,es,0
deepseek|P10|es|1,char_ngram,es,0
deepseek|P10|es|0,char_ngram,es,0
deepseek|P11|es|0,char_ngram,es,0
deepseek|P09|es|1,char_ngram,es,1
deepseek|P11|es|1,char_ngram,es,0
deepseek|P12|es|0,char_ngram,es,1
deepseek|P09|es|0,char_ngram,es,1
deepseek|P02|es|0,char_ngram,es,1
deepseek|P12|es|1,char_ngram,es,1
gemini|P01|es|0,char_ngram,es,1
gemini|P01|es|1,char_ngram,es,1
gemini|P02|es|0,char_ngram,es,1
gemini|P03|es|0,char_ngram,es,1
gemini|P03|es|1,char_ngram,es,0
gemini|P02|es|1,char_ngram,es,1
gemini|P05|es|0,char_ngram,es,1
gemini|P04|es|1,char_ngram,es,1
gemini|P06|es|0,char_ngram,es,1
gemini|P05|es|1,char_ngram,es,1
gemini|P04|es|0,char_ngram,es,1
gemini|P06|es|1,char_ngram,es,1
gemini|P07|es|0,char_ngram,es,1
gemini|P07|es|1,char_ngram,es,1
gemini|P08|es|0,char_ngram,es,1
gemini|P08|es|1,char_ngram,es,1
gemini|P09|es|1,char_ngram,es,1
gemini|P09|es|0,char_ngram,es,1
gemini|P10|es|0,char_ngram,es,1
gemini|P11|es|0,char_ngram,es,1
gemini|P10|es|1,char_ngram,es,1
gemini|P11|es|1,char_ngram,es,0
gemini|P12|es|1,char_ngram,es,1
gemini|P12|es|0,char_ngram,es,1
gpt|P01|es|0,char_ngram,es,1
gpt|P01|es|1,char_ngram,es,1
gpt|P03|es|0,char_ngram,es,1
gpt|P02|es|0,char_ngram,es,1
gpt|P03|es|1,char_ngram,es,1
gpt|P02|es|1,char_ngram,es,1
gpt|P05|es|0,char_ngram,es,1
gpt|P05|es|1,char_ngram,es,1
gpt|P04|es|1,char_ngram,es,0
gpt|P07|es|0,char_ngram,es,1
gpt|P07|es|1,char_ngram,es,1
gpt|P04|es|0,char_ngram,es,0
gpt|P08|es|0,char_ngram,es,1
gpt|P06|es|1,char_ngram,es,1
gpt|P06|es|0,char_ngram,es,1
gpt|P08|es|1,char_ngram,es,1
gpt|P10|es|0,char_ngram,es,1
gpt|P09|es|0,char_ngram,es,1
gpt|P10|es|1,char_ngram,es,1
gpt|P09|es|1,char_ngram,es,1
gpt|P11|es|0,char_ngram,es,1
gpt|P11|es|1,char_ngram,es,1
gpt|P12|es|1,char_ngram,es,1
gpt|P12|es|0,char_ngram,es,1
grok|P01|es|0,char_ngram,es,1
grok|P01|es|1,char_ngram,es,1
grok|P02|es|0,char_ngram,es,1
grok|P02|es|1,char_ngram,es,1
grok|P03|es|1,char_ngram,es,0
grok|P03|es|0,char_ngram,es,0
grok|P04|es|1,char_ngram,es,1
grok|P04|es|0,char_ngram,es,1
grok|P05|es|0,char_ngram,es,1
grok|P05|es|1,char_ngram,es,1
grok|P06|es|0,char_ngram,es,1
grok|P07|es|0,char_ngram,es,1
grok|P06|es|1,char_ngram,es,1
grok|P07|es|1,char_ngram,es,1
grok|P08|es|0,char_ngram,es,1
grok|P08|es|1,char_ngram,es,1
grok|P09|es|0,char_ngram,es,0
grok|P10|es|0,char_ngram,es,1
grok|P09|es|1,char_ngram,es,0
grok|P10|es|1,char_ngram,es,1
grok|P11|es|0,char_ngram,es,1
grok|P11|es|1,char_ngram,es,1
grok|P12|es|0,char_ngram,es,1
grok|P12|es|1,char_ngram,es,0
claude|P01|hi|0,char_ngram,hi,0
claude|P02|hi|0,char_ngram,hi,1
claude|P03|hi|0,char_ngram,hi,0
claude|P03|hi|1,char_ngram,hi,0
claude|P01|hi|1,char_ngram,hi,0
claude|P04|hi|1,char_ngram,hi,1
claude|P02|hi|1,char_ngram,hi,1
claude|P04|hi|0,char_ngram,hi,1
claude|P08|hi|0,char_ngram,hi,1
claude|P05|hi|0,char_ngram,hi,1
claude|P07|hi|1,char_ngram,hi,1
claude|P05|hi|1,char_ngram,hi,1
claude|P08|hi|1,char_ngram,hi,1
claude|P07|hi|0,char_ngram,hi,1
claude|P06|hi|1,char_ngram,hi,1
claude|P06|hi|0,char_ngram,hi,1
claude|P09|hi|0,char_ngram,hi,1
claude|P09|hi|1,char_ngram,hi,1
claude|P11|hi|0,char_ngram,hi,1
claude|P10|hi|1,char_ngram,hi,1
claude|P10|hi|0,char_ngram,hi,1
claude|P11|hi|1,char_ngram,hi,1
claude|P12|hi|1,char_ngram,hi,0
claude|P12|hi|0,char_ngram,hi,1
deepseek|P01|hi|0,char_ngram,hi,1
deepseek|P02|hi|1,char_ngram,hi,0
deepseek|P01|hi|1,char_ngram,hi,0
deepseek|P03|hi|0,char_ngram,hi,1
deepseek|P04|hi|0,char_ngram,hi,0
deepseek|P02|hi|0,char_ngram,hi,1
deepseek|P04|hi|1,char_ngram,hi,1
deepseek|P05|hi|0,char_ngram,hi,0
deepseek|P03|hi|1,char_ngram,hi,0
deepseek|P06|hi|1,char_ngram,hi,1
deepseek|P05|hi|1,char_ngram,hi,0
deepseek|P07|hi|1,char_ngram,hi,1
deepseek|P08|hi|0,char_ngram,hi,0
deepseek|P06|hi|0,char_ngram,hi,1
deepseek|P07|hi|0,char_ngram,hi,1
deepseek|P08|hi|1,char_ngram,hi,0
deepseek|P09|hi|0,char_ngram,hi,1
deepseek|P11|hi|0,char_ngram,hi,0
deepseek|P09|hi|1,char_ngram,hi,1
deepseek|P10|hi|0,char_ngram,hi,0
deepseek|P10|hi|1,char_ngram,hi,1
deepseek|P12|hi|0,char_ngram,hi,0
deepseek|P12|hi|1,char_ngram,hi,1
deepseek|P11|hi|1,char_ngram,hi,0
gemini|P01|hi|1,char_ngram,hi,1
gemini|P01|hi|0,char_ngram,hi,1
gemini|P02|hi|1,char_ngram,hi,1
gemini|P02|hi|0,char_ngram,hi,1
gemini|P03|hi|0,char_ngram,hi,1
gemini|P03|hi|1,char_ngram,hi,0
gemini|P04|hi|1,char_ngram,hi,1
gemini|P04|hi|0,char_ngram,hi,1
gemini|P05|hi|0,char_ngram,hi,1
gemini|P05|hi|1,char_ngram,hi,1
gemini|P06|hi|0,char_ngram,hi,1
gemini|P07|hi|1,char_ngram,hi,0
gemini|P06|hi|1,char_ngram,hi,1
gemini|P07|hi|0,char_ngram,hi,0
gemini|P08|hi|0,char_ngram,hi,1
gemini|P08|hi|1,char_ngram,hi,1
gemini|P09|hi|1,char_ngram,hi,1
gemini|P09|hi|0,char_ngram,hi,1
gemini|P10|hi|0,char_ngram,hi,1
gemini|P10|hi|1,char_ngram,hi,1
gemini|P11|hi|1,char_ngram,hi,1
gemini|P11|hi|0,char_ngram,hi,1
gemini|P12|hi|1,char_ngram,hi,1
gemini|P12|hi|0,char_ngram,hi,1
gpt|P03|hi|0,char_ngram,hi,1
gpt|P03|hi|1,char_ngram,hi,1
gpt|P01|hi|0,char_ngram,hi,1
gpt|P01|hi|1,char_ngram,hi,1
gpt|P04|hi|0,char_ngram,hi,1
gpt|P04|hi|1,char_ngram,hi,0
gpt|P02|hi|1,char_ngram,hi,1
gpt|P02|hi|0,char_ngram,hi,1
gpt|P05|hi|0,char_ngram,hi,1
gpt|P05|hi|1,char_ngram,hi,1
gpt|P06|hi|0,char_ngram,hi,0
gpt|P06|hi|1,char_ngram,hi,1
gpt|P07|hi|0,char_ngram,hi,1
gpt|P08|hi|0,char_ngram,hi,1
gpt|P08|hi|1,char_ngram,hi,1
gpt|P09|hi|0,char_ngram,hi,1
gpt|P07|hi|1,char_ngram,hi,0
gpt|P09|hi|1,char_ngram,hi,1
gpt|P10|hi|0,char_ngram,hi,1
gpt|P10|hi|1,char_ngram,hi,1
gpt|P11|hi|0,char_ngram,hi,1
gpt|P11|hi|1,char_ngram,hi,1
